날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
11/20/2015,108,9.8,7.1,14.4
11/21/2015,108,9.2,5,15.4
11/22/2015,108,10.2,5.9,15.7
11/23/2015,108,8.5,6.5,11
11/24/2015,108,5.6,2.7,8.8
11/25/2015,108,2.4,0.9,5.3
11/26/2015,108,-2.7,-4.8,0.9
11/27/2015,108,-2.8,-7.3,2
11/28/2015,108,0.1,-2.7,2.6
11/29/2015,108,2.5,1,3.9
11/30/2015,108,4.1,0.9,8.5
12/1/2015,108,4,-1.3,10.4
12/2/2015,108,6,2.9,8.5
12/3/2015,108,-0.7,-3.2,3.3
12/4/2015,108,-0.4,-4.4,3.1
12/5/2015,108,3.4,0.6,7.2
12/6/2015,108,1.3,-2,7.8
12/7/2015,108,1.9,-3.4,6.7
12/8/2015,108,2.9,-1.4,9.6
12/9/2015,108,5,-0.8,10.9
12/10/2015,108,7.8,5.8,9.2
12/11/2015,108,6.4,3.3,12.2
12/12/2015,108,5.2,1.1,11
12/13/2015,108,5.2,0.9,12.2
12/14/2015,108,5,2.6,6.4
12/15/2015,108,4.7,2,8.2
12/16/2015,108,-1,-5,2.8
12/17/2015,108,-4.6,-7.4,-0.4
12/18/2015,108,-3.3,-7,-1
12/19/2015,108,-0.1,-4.6,6.8
12/20/2015,108,1.5,-3.4,6
12/21/2015,108,2.2,-0.2,5
12/22/2015,108,3.1,-1.5,7.7
12/23/2015,108,5.9,2.9,10.6
12/24/2015,108,1.5,-1.6,5.3
12/25/2015,108,-0.8,-4.9,3.7
12/26/2015,108,0.9,-3.2,4.7
12/27/2015,108,-5.7,-8.9,-1
12/28/2015,108,-5.7,-9.5,-1
12/29/2015,108,-3.2,-8.7,2.9
12/30/2015,108,0.3,-3.5,4.3
12/31/2015,108,0.7,-1.9,2.8
1/1/2016,108,1.2,-3.3,4
1/2/2016,108,5.7,1,9.5
1/3/2016,108,6.5,5.1,9.4
1/4/2016,108,2,-2.5,5.3
1/5/2016,108,-2.7,-4.8,1.5
1/6/2016,108,-1.7,-4.9,1.7
1/7/2016,108,-3.4,-5.9,1.4
1/8/2016,108,-3.3,-6.9,1
1/9/2016,108,-2.1,-6.2,2.4
1/10/2016,108,0.3,-2.7,3.8
1/11/2016,108,-3.8,-6.5,0.9
1/12/2016,108,-5.2,-9.1,0.7
1/13/2016,108,-4.5,-8.2,0.1
1/14/2016,108,-3.4,-8.4,1.3
1/15/2016,108,-0.4,-4.3,5.3
1/16/2016,108,-0.2,-2.1,2.8
1/17/2016,108,1.7,-0.7,5.4
1/18/2016,108,-6.3,-12.3,0.4
1/19/2016,108,-12.8,-15.1,-8.9
1/20/2016,108,-10.5,-14.5,-5.2
1/21/2016,108,-7.1,-10.2,-2.3
1/22/2016,108,-7.6,-11.1,-3.8
1/23/2016,108,-11.5,-16,-8.3
1/24/2016,108,-14.4,-18,-10.5
1/25/2016,108,-9.4,-14.3,-3.4
1/26/2016,108,-3.3,-8.5,1.7
1/27/2016,108,-1.1,-4.7,4.3
1/28/2016,108,-0.5,-5.6,3.5
1/29/2016,108,1.9,-1.4,5.4
1/30/2016,108,0.6,-2.5,5.2
1/31/2016,108,-3.9,-6.5,0.3
2/1/2016,108,-6,-9.1,-1
2/2/2016,108,-5.3,-10,0.9
2/3/2016,108,-2.4,-8.3,4
2/4/2016,108,-0.7,-4,3.9
2/5/2016,108,-2.2,-6.8,3.4
2/6/2016,108,-3.1,-6.2,2
2/7/2016,108,-2.9,-8.3,3.5
2/8/2016,108,1.3,-4.3,5.5
2/9/2016,108,0.3,-3.9,5.5
2/10/2016,108,2.7,-4.3,10.7
2/11/2016,108,8.1,1.6,13.5
2/12/2016,108,8.4,6.8,10
2/13/2016,108,11,5.8,14.4
2/14/2016,108,-2.6,-6.8,5.8
2/15/2016,108,-5.8,-10,-2.3
2/16/2016,108,-2.7,-6.7,1.1
2/17/2016,108,0,-5.2,5.4
2/18/2016,108,3.5,-1.4,7.8
2/19/2016,108,2.3,0.1,4.4
2/20/2016,108,1.3,-2.5,6.3
2/21/2016,108,-0.6,-4.2,4.4
2/22/2016,108,1.1,-2.2,4.2
2/23/2016,108,0.7,-4.5,4.5
2/24/2016,108,-3,-6.8,2.2
2/25/2016,108,-0.2,-5.8,5.7
2/26/2016,108,2.2,-3.2,7.5
2/27/2016,108,3.3,0.5,8.1
2/28/2016,108,0.7,-2.6,6.9
2/29/2016,108,-3.8,-5.9,-1.1
3/1/2016,108,-2.7,-7.5,2.1
3/2/2016,108,3.1,-2.2,8.1
3/3/2016,108,8.1,4.4,13.9
3/4/2016,108,13.2,6.4,20.3
3/5/2016,108,11.3,9.1,13.5
3/6/2016,108,7.9,4.3,12.9
3/7/2016,108,8.1,4.8,12.2
3/8/2016,108,2.7,-1.4,7
3/9/2016,108,0.3,-2.7,5.3
3/10/2016,108,-1.1,-4.3,3.1
3/11/2016,108,-0.5,-5.5,4.6
3/12/2016,108,2,-3.3,6.4
3/13/2016,108,3.7,1.9,6.5
3/14/2016,108,4.7,1.3,9.6
3/15/2016,108,5.2,-1,12.4
3/16/2016,108,7.5,2.7,13.8
3/17/2016,108,9.3,2,14.7
3/18/2016,108,13.4,8.8,20.1
3/19/2016,108,11.4,6.6,18.1
3/20/2016,108,10.6,4.9,17.5
3/21/2016,108,9.9,5.5,16.1
3/22/2016,108,8,3.5,13.8
3/23/2016,108,8.2,3.8,13.8
3/24/2016,108,7.2,1.6,12.7
3/25/2016,108,7.1,2.1,12.6
3/26/2016,108,6.5,2.1,12.6
3/27/2016,108,7.2,2.2,13.1
3/28/2016,108,9.8,2.3,17.4
3/29/2016,108,11.3,7.6,17.1
3/30/2016,108,11.5,7,18.3
3/31/2016,108,13.5,6,21.4
4/1/2016,108,15.3,7.3,23.8
4/2/2016,108,15,9.6,21.7
4/3/2016,108,10.7,8.2,12.7
4/4/2016,108,12.3,5.1,19.8
4/5/2016,108,11.4,5.9,18.1
4/6/2016,108,14.4,6.6,22.9
4/7/2016,108,14.1,10.5,20.6
4/8/2016,108,11.1,7.8,18.7
4/9/2016,108,10.7,7.4,14.1
4/10/2016,108,13.4,9.3,20.7
4/11/2016,108,12.5,5.7,19.4
4/12/2016,108,14.1,10.3,19.4
4/13/2016,108,15.6,11.4,21.4
4/14/2016,108,12.4,9.3,18.6
4/15/2016,108,15,8.1,23.1
4/16/2016,108,14.9,9.8,20.7
4/17/2016,108,10.8,8.3,14.5
4/18/2016,108,11.2,7.1,18.6
4/19/2016,108,12,6.5,19.2
4/20/2016,108,14.3,10.1,20.9
4/21/2016,108,13.5,10.3,16.9
4/22/2016,108,13.5,10.1,18.6
4/23/2016,108,13.5,7.8,19.8
4/24/2016,108,15.5,8.1,23.7
4/25/2016,108,17.2,10.2,25.3
4/26/2016,108,21.1,12.1,29.6
4/27/2016,108,17.2,14.5,20.7
4/28/2016,108,17.2,12.4,23
4/29/2016,108,16.2,10.9,22.6
4/30/2016,108,15.9,10.8,20.4
5/1/2016,108,18.8,12.2,26
5/2/2016,108,21.1,16.5,28.4
5/3/2016,108,12.9,8.9,17.6
5/4/2016,108,15.7,10.2,20.6
5/5/2016,108,18.9,10.2,26.9
5/6/2016,108,16.3,13,18.6
5/7/2016,108,16.5,10.7,22.6
5/8/2016,108,19.4,11.6,26.8
5/9/2016,108,20.2,16.3,25.4
5/10/2016,108,14.5,12.5,18.1
5/11/2016,108,16.4,10.4,23.5
5/12/2016,108,17.8,12.1,24
5/13/2016,108,18.6,12.7,25.4
5/14/2016,108,20.2,15.1,26.9
5/15/2016,108,17.4,12.3,24.2
5/16/2016,108,15.9,10.8,21.9
5/17/2016,108,19.3,10.9,26.6
5/18/2016,108,22.3,13.5,29.5
5/19/2016,108,24.3,16.3,31.9
5/20/2016,108,24,16.8,31.6
5/21/2016,108,24.1,17.8,30.4
5/22/2016,108,24.7,17.6,31.7
5/23/2016,108,23.3,18.3,29.4
5/24/2016,108,16.8,15.4,21.8
5/25/2016,108,19.7,15.3,24.4
5/26/2016,108,19.4,17.5,22.9
5/27/2016,108,20.9,14.8,27.1
5/28/2016,108,21.7,17.2,28
5/29/2016,108,21.5,17.2,27.6
5/30/2016,108,22.1,16.9,28.9
5/31/2016,108,21.6,17.4,27.6
6/1/2016,108,23.3,17.1,29.9
6/2/2016,108,23.2,17.2,29.1
6/3/2016,108,22.2,17.6,27.7
6/4/2016,108,21.2,18.2,26.3
6/5/2016,108,24.7,17.3,32.2
6/6/2016,108,23.3,20.8,28.4
6/7/2016,108,21.7,19.6,25.9
6/8/2016,108,22.1,18.2,27.7
6/9/2016,108,24.1,17.8,31.3
6/10/2016,108,24.6,20.2,31.3
6/11/2016,108,23.5,20.9,26.5
6/12/2016,108,23.5,19.9,26.7
6/13/2016,108,23.5,19.4,29.6
6/14/2016,108,23.8,19.7,29.5
6/15/2016,108,20.9,17.4,24.5
6/16/2016,108,20.9,18.6,24.9
6/17/2016,108,23.8,18.6,29.1
6/18/2016,108,24.5,20.1,29.9
6/19/2016,108,24.1,20.3,29.3
6/20/2016,108,24.7,19.6,30.7
6/21/2016,108,26,21,31.3
6/22/2016,108,24.3,20.9,30.2
6/23/2016,108,24.7,19.6,29.4
6/24/2016,108,23.1,21.1,25.7
6/25/2016,108,22.8,19.2,26.7
6/26/2016,108,24.4,19.4,30.3
6/27/2016,108,24.4,19.9,29.5
6/28/2016,108,24.7,20.4,29.7
6/29/2016,108,25.3,20.9,30.2
6/30/2016,108,24.6,23,26.9
7/1/2016,108,24,22,26.6
7/2/2016,108,23.5,20.6,27.7
7/3/2016,108,23.5,21.1,26.8
7/4/2016,108,21.8,20.2,24.1
7/5/2016,108,23.1,20.2,24.8
7/6/2016,108,22.9,20.3,26.9
7/7/2016,108,24,20.1,28.5
7/8/2016,108,27.3,21.2,32.4
7/9/2016,108,27.7,23.2,32.7
7/10/2016,108,27.9,23.2,33.1
7/11/2016,108,28.4,24.8,33.4
7/12/2016,108,26.3,22.1,30.9
7/13/2016,108,26.3,23.2,29.5
7/14/2016,108,27.5,24,32.4
7/15/2016,108,26.2,23.7,29.2
7/16/2016,108,20.8,19.8,23.8
7/17/2016,108,21.7,20.4,23.1
7/18/2016,108,24.4,20.7,28.4
7/19/2016,108,27.1,20.9,32.4
7/20/2016,108,28.6,24,32.9
7/21/2016,108,28.3,24.9,32.2
7/22/2016,108,29.1,25.3,34.1
7/23/2016,108,28.7,27.2,31.6
7/24/2016,108,28,27,30.1
7/25/2016,108,28.4,26.4,31.4
7/26/2016,108,28.4,25.6,31.9
7/27/2016,108,27.6,26.7,28.9
7/28/2016,108,28,26.7,30.5
7/29/2016,108,26.3,23.4,28.4
7/30/2016,108,28.6,26.4,33
7/31/2016,108,28.9,26.6,32.8
8/1/2016,108,28.4,25.8,32.4
8/2/2016,108,27.2,25,31.1
8/3/2016,108,29.1,24,34.2
8/4/2016,108,30.7,26,35.7
8/5/2016,108,31.2,26.5,36
8/6/2016,108,30.5,26.6,34
8/7/2016,108,30.6,27,35
8/8/2016,108,30.5,26.4,35.5
8/9/2016,108,29.3,26.4,33.6
8/10/2016,108,29.4,26.1,34.8
8/11/2016,108,30.5,26.1,36.4
8/12/2016,108,30.4,26.4,35.9
8/13/2016,108,30.2,26.8,35.1
8/14/2016,108,28.9,27.3,31.8
8/15/2016,108,29.1,25.8,34
8/16/2016,108,29.3,26.2,34.9
8/17/2016,108,29.9,25.1,34.7
8/18/2016,108,29.9,26.2,34.3
8/19/2016,108,28.9,26.6,33.2
8/20/2016,108,30.1,26.5,34.9
8/21/2016,108,30.7,26.9,36.6
8/22/2016,108,30.7,25.8,36.3
8/23/2016,108,28.3,26,33
8/24/2016,108,29.1,26.4,32.9
8/25/2016,108,27.1,24,32.2
8/26/2016,108,23,19.5,28.2
8/27/2016,108,23.4,16.9,29.7
8/28/2016,108,21,18.3,24.5
8/29/2016,108,22.2,17.4,27.1
8/30/2016,108,20.6,17.9,24.5
8/31/2016,108,17.7,16.1,19.2
9/1/2016,108,23.2,15.8,28.6
9/2/2016,108,24.2,20.6,29
9/3/2016,108,23.9,20.4,28.6
9/4/2016,108,25.6,22.1,29.6
9/5/2016,108,26.4,23,31.1
9/6/2016,108,24.7,21,29
9/7/2016,108,24.3,20.9,28.6
9/8/2016,108,23,21.5,26.5
9/9/2016,108,23.9,19.7,29.3
9/10/2016,108,24.4,20,29.1
9/11/2016,108,24.5,22.1,28.2
9/12/2016,108,23.4,21.4,27.5
9/13/2016,108,24.6,19.6,30.8
9/14/2016,108,24.6,21.4,28.9
9/15/2016,108,23.9,18.8,29.5
9/16/2016,108,24.6,20.4,29.5
9/17/2016,108,23.1,18.5,28.2
9/18/2016,108,23.5,20.2,28.3
9/19/2016,108,21.9,18.2,27.8
9/20/2016,108,20.6,15.4,26.8
9/21/2016,108,20.2,14.3,25.3
9/22/2016,108,21.9,17.5,27.2
9/23/2016,108,21.4,16.4,27.9
9/24/2016,108,22.3,16.5,28.9
9/25/2016,108,23,18.6,29.7
9/26/2016,108,23.6,19.7,28.9
9/27/2016,108,21,19.1,23.8
9/28/2016,108,19.9,18.7,21.8
9/29/2016,108,20.4,18.2,24.8
9/30/2016,108,20.5,17.7,23.5
10/1/2016,108,21.1,17.5,25.6
10/2/2016,108,19,16.7,22.4
10/3/2016,108,22.7,19.6,27.9
10/4/2016,108,22,15.6,29
10/5/2016,108,21.1,17.5,27.2
10/6/2016,108,18,13.6,23.5
10/7/2016,108,19.7,16.5,24.8
10/8/2016,108,16.8,10.3,21.8
10/9/2016,108,11.3,6.5,16.6
10/10/2016,108,14,7.4,21.4
10/11/2016,108,15.4,10,21.1
10/12/2016,108,15.5,11.4,20.7
10/13/2016,108,15.2,9.3,21.9
10/14/2016,108,16.7,10.5,23.5
10/15/2016,108,19.1,12.4,27.1
10/16/2016,108,17.2,15.4,19.5
10/17/2016,108,17.5,14.5,21.7
10/18/2016,108,17,11.2,24
10/19/2016,108,18,14,24.3
10/20/2016,108,18.6,12.9,25.8
10/21/2016,108,17.9,15.7,22
10/22/2016,108,18.3,14.5,22.8
10/23/2016,108,13.3,10.6,17.8
10/24/2016,108,15.1,9,20.6
10/25/2016,108,14.1,12.5,17.5
10/26/2016,108,13.3,10.5,16.3
10/27/2016,108,14.6,8.6,20.9
10/28/2016,108,14.6,10.2,18.4
10/29/2016,108,7.8,3.5,11.2
10/30/2016,108,7.9,1.6,15.1
10/31/2016,108,5.7,0.7,8.2
11/1/2016,108,1.5,-2.4,6.6
11/2/2016,108,4.1,-2.7,10.5
11/3/2016,108,9.1,4.2,14.1
11/4/2016,108,12.3,8.2,15.7
11/5/2016,108,15,12.2,18.1
11/6/2016,108,14,11.9,18.3
11/7/2016,108,12.8,8.5,17.8
11/8/2016,108,4.1,0.4,8.4
11/9/2016,108,2.1,-3.2,8.6
11/10/2016,108,6,1.5,9.8
11/11/2016,108,9.1,6.2,14.2
11/12/2016,108,11.4,5.1,16.7
11/13/2016,108,14.4,12.1,18.1
11/14/2016,108,13.2,10.2,15.8
11/15/2016,108,5.2,2.5,10.2
11/16/2016,108,5.2,0,12
11/17/2016,108,9.1,4,16.5
11/18/2016,108,10.3,4.9,14.6
11/19/2016,108,13,9.9,18.6
11/20/2016,108,9.8,6.4,15.3
11/21/2016,108,9.5,5.1,14.6
11/22/2016,108,2,-2.1,8.4
11/23/2016,108,-1.8,-4.8,3.6
11/24/2016,108,-2.5,-6.2,2.4
11/25/2016,108,1,-3.5,6
11/26/2016,108,0.9,-0.7,2.7
11/27/2016,108,3.3,0.5,6.6
11/28/2016,108,1.4,-1.4,5.6
11/29/2016,108,1.7,-2.8,8.6
11/30/2016,108,6,0.7,9.8
12/1/2016,108,4.1,-1,7
12/2/2016,108,1.6,-3.5,7.9
12/3/2016,108,4.5,-0.7,11.3
12/4/2016,108,5.5,2,9.5
12/5/2016,108,5.9,0.5,10.3
12/6/2016,108,-1.1,-4.2,4.3
12/7/2016,108,1.7,-2.7,7.5
12/8/2016,108,2.1,-3,6.1
12/9/2016,108,1.4,-2.9,4.2
12/10/2016,108,-1.6,-5.9,3.6
12/11/2016,108,-1.1,-6.1,6.4
12/12/2016,108,2.3,-3,6.3
12/13/2016,108,3.4,-0.4,8.8
12/14/2016,108,-1.4,-2.3,-0.1
12/15/2016,108,-5,-7.6,-1.5
12/16/2016,108,-4.7,-9.8,0
12/17/2016,108,2.7,-2.7,8
12/18/2016,108,4.9,2.7,8.1
12/19/2016,108,7.2,4.3,12
12/20/2016,108,7.6,4.4,13.6
12/21/2016,108,7.9,4.1,12.6
12/22/2016,108,5.5,1.5,11
12/23/2016,108,-2.5,-4.4,1.5
12/24/2016,108,-2.4,-4.3,1.1
12/25/2016,108,1,-4.5,6.4
12/26/2016,108,2.5,1.3,4.4
12/27/2016,108,-2.3,-6.3,1.3
12/28/2016,108,-3.7,-8.4,2.6
12/29/2016,108,-4.2,-7.2,-1.1
12/30/2016,108,-3.9,-9.1,1
12/31/2016,108,0.7,-3.6,5.7
1/1/2017,108,2.7,-1.6,6.9
1/2/2017,108,5,1.8,9.2
1/3/2017,108,2,-2.3,7.7
1/4/2017,108,3.9,1,8.9
1/5/2017,108,3.8,-0.1,7.3
1/6/2017,108,5.4,2.5,11.4
1/7/2017,108,4.6,0,10.5
1/8/2017,108,6.5,4,10.9
1/9/2017,108,1.5,-3.1,4.3
1/10/2017,108,-3.7,-7.4,1.1
1/11/2017,108,-3.8,-9.4,1.5
1/12/2017,108,-2.2,-6.1,1
1/13/2017,108,-6,-8.6,-1.4
1/14/2017,108,-8.4,-10.5,-5.4
1/15/2017,108,-6.6,-11.5,-0.9
1/16/2017,108,-3.8,-8.9,4
1/17/2017,108,-2,-7.1,3.4
1/18/2017,108,-0.5,-3,2.8
1/19/2017,108,-1.2,-4.9,4.7
1/20/2017,108,-4.4,-7.8,-1.4
1/21/2017,108,-5.2,-10,-0.9
1/22/2017,108,-8.3,-10.9,-3.3
1/23/2017,108,-8.9,-12.6,-4.1
1/24/2017,108,-7,-11.6,-1.3
1/25/2017,108,-5.2,-10.2,0.9
1/26/2017,108,-1.3,-7.9,3.4
1/27/2017,108,-2.6,-5.7,3.1
1/28/2017,108,-1.6,-8.2,4.3
1/29/2017,108,0.8,-0.9,2.5
1/30/2017,108,-4.8,-7.9,-0.9
1/31/2017,108,-5.4,-9.9,0.2
2/1/2017,108,-4,-7.5,0.7
2/2/2017,108,-2.7,-9.2,3.3
2/3/2017,108,1.5,-2.3,6.7
2/4/2017,108,0.9,-2.9,3.2
2/5/2017,108,1.2,-1.5,2.3
2/6/2017,108,-1.7,-4.4,2.6
2/7/2017,108,-2,-5.6,3
2/8/2017,108,-2.2,-4.9,0.6
2/9/2017,108,-5.3,-7.1,-2.1
2/10/2017,108,-6.6,-9.3,-2.5
2/11/2017,108,-4.8,-9.2,0.8
2/12/2017,108,-2.2,-7.4,4.2
2/13/2017,108,0.1,-5.4,6.1
2/14/2017,108,0.3,-4,6.5
2/15/2017,108,1.8,-3.9,8
2/16/2017,108,5.5,-1.9,10.3
2/17/2017,108,0.8,-5.2,9
2/18/2017,108,-2.6,-7,2.9
2/19/2017,108,2.3,-3.4,5.7
2/20/2017,108,-1.5,-5.2,5.4
2/21/2017,108,-0.6,-7.6,6.9
2/22/2017,108,1.7,-0.9,2.9
2/23/2017,108,-1.5,-4.2,2.1
2/24/2017,108,-0.8,-5.8,4.4
2/25/2017,108,2.6,-2.8,8.4
2/26/2017,108,3.6,-1.5,10.1
2/27/2017,108,3.7,-1.8,10.7
2/28/2017,108,5.6,-1.3,12.3
3/1/2017,108,5,2,11.4
3/2/2017,108,1.8,-1.1,6.6
3/3/2017,108,3.3,-3.1,10.4
3/4/2017,108,5.7,0.1,12.7
3/5/2017,108,5.2,1.2,10.4
3/6/2017,108,0.1,-2.8,4
3/7/2017,108,-1.3,-4,2.9
3/8/2017,108,-0.1,-5.3,5
3/9/2017,108,3.2,-2.7,10.7
3/10/2017,108,4.8,-1.2,12.2
3/11/2017,108,7.3,-0.2,16.7
3/12/2017,108,8.2,4.4,14
3/13/2017,108,6.9,1.5,12.2
3/14/2017,108,5.8,1,10.9
3/15/2017,108,6.3,0.4,13.3
3/16/2017,108,6.2,1,13.4
3/17/2017,108,7.7,1.2,15.7
3/18/2017,108,9.5,5.9,16.1
3/19/2017,108,10.9,3.2,18.9
3/20/2017,108,10.2,6,15.5
3/21/2017,108,7.4,4.3,12.6
3/22/2017,108,7.6,1.9,14.1
3/23/2017,108,9.1,5.1,15
3/24/2017,108,8.7,3.9,15.2
3/25/2017,108,8.1,5,12.6
3/26/2017,108,7.3,4.8,11.6
3/27/2017,108,6.1,4.4,10.9
3/28/2017,108,7.1,2.5,12.7
3/29/2017,108,8.8,4.7,14.4
3/30/2017,108,10.6,4.1,17.1
3/31/2017,108,8.6,4.9,12.4
4/1/2017,108,9,4.8,15.1
4/2/2017,108,9,3.1,15.8
4/3/2017,108,11.4,4.3,19.2
4/4/2017,108,14.1,6.7,21.8
4/5/2017,108,12,10.8,14.2
4/6/2017,108,10.4,9.4,12.4
4/7/2017,108,14.5,9,23.5
4/8/2017,108,13,8.6,19.9
4/9/2017,108,14.8,10.6,20.5
4/10/2017,108,16.5,10.1,23.3
4/11/2017,108,15.3,11.5,20.2
4/12/2017,108,11.5,8.8,16.4
4/13/2017,108,12.7,6.3,19.6
4/14/2017,108,13,10.1,17.7
4/15/2017,108,16.8,10.9,24.3
4/16/2017,108,18.7,12.9,24.4
4/17/2017,108,14.7,11.2,18
4/18/2017,108,11.7,9.4,17.4
4/19/2017,108,12.6,7,18.4
4/20/2017,108,12.9,9.9,18.2
4/21/2017,108,13.1,7.6,19.3
4/22/2017,108,14.8,8.5,22.5
4/23/2017,108,14.9,8.9,21.7
4/24/2017,108,15.1,8.3,21.3
4/25/2017,108,16,12.9,20.4
4/26/2017,108,15.1,10.5,20.2
4/27/2017,108,13.6,7.9,19.8
4/28/2017,108,14.4,8.9,21.5
4/29/2017,108,17.1,9.6,23.7
4/30/2017,108,19.3,13.7,27.8
5/1/2017,108,20.1,12.8,28.3
5/2/2017,108,20.7,15.2,28
5/3/2017,108,21.5,14.5,30.2
5/4/2017,108,21,14.8,27.5
5/5/2017,108,20.9,15.5,27
5/6/2017,108,14.9,10,19.3
5/7/2017,108,16.6,10.9,22.8
5/8/2017,108,17.9,11.1,23.5
5/9/2017,108,17.1,15.3,22.6
5/10/2017,108,16.4,14.2,20.8
5/11/2017,108,19.3,13.1,24.8
5/12/2017,108,19.1,16.8,21.1
5/13/2017,108,16.4,12.4,22.6
5/14/2017,108,15.7,11,20.7
5/15/2017,108,16,12.3,20.1
5/16/2017,108,17.1,13.3,22.3
5/17/2017,108,18.6,12.3,25.9
5/18/2017,108,20.4,13.9,26.9
5/19/2017,108,21.1,15.1,27.9
5/20/2017,108,20.9,15.4,27.3
5/21/2017,108,21.5,16,27.6
5/22/2017,108,21.8,15.9,28
5/23/2017,108,20,17.2,24.4
5/24/2017,108,21.8,16.9,27.8
5/25/2017,108,19.2,14.4,24.4
5/26/2017,108,17.7,12.4,23.2
5/27/2017,108,19.5,13.7,26.4
5/28/2017,108,21.2,14.4,27.9
5/29/2017,108,22.9,18.1,29.3
5/30/2017,108,23.6,18.6,30.3
5/31/2017,108,23.3,17.7,29.6
6/1/2017,108,23.3,20,27
6/2/2017,108,20.5,15.5,25.6
6/3/2017,108,20.5,16.1,26.5
6/4/2017,108,21.7,15.1,28.1
6/5/2017,108,24.2,16.4,30.3
6/6/2017,108,19.4,14.5,23.9
6/7/2017,108,17.6,15.1,19.2
6/8/2017,108,20.1,15.1,25.9
6/9/2017,108,21.2,17.9,25.7
6/10/2017,108,21.5,16.7,27.5
6/11/2017,108,22.8,14.8,29.6
6/12/2017,108,22.1,17,28
6/13/2017,108,21.5,18.3,25.9
6/14/2017,108,21.8,17.8,26.8
6/15/2017,108,23.1,18,29.6
6/16/2017,108,25.5,20,32.7
6/17/2017,108,24.2,20.6,29.9
6/18/2017,108,24.3,18.6,31.8
6/19/2017,108,24.8,19.5,30.2
6/20/2017,108,26,20,32.7
6/21/2017,108,25.4,21.7,31.6
6/22/2017,108,25.3,21.2,30.4
6/23/2017,108,26.7,21.3,34.1
6/24/2017,108,24.5,21.5,27.8
6/25/2017,108,23.8,21,28.4
6/26/2017,108,23.1,20.1,29.9
6/27/2017,108,25.2,20.8,30.5
6/28/2017,108,26,22.5,30.5
6/29/2017,108,26.2,21.9,31.5
6/30/2017,108,25.9,22.2,30.9
7/1/2017,108,25.3,22.4,30.7
7/2/2017,108,24.3,21.9,26.8
7/3/2017,108,24.7,21.9,27.4
7/4/2017,108,26.7,23.8,31.6
7/5/2017,108,27.4,23.3,32.6
7/6/2017,108,27.6,23.9,34.6
7/7/2017,108,26.4,24.4,28.4
7/8/2017,108,26,24.6,27.6
7/9/2017,108,26.3,23.8,30.3
7/10/2017,108,24,22.6,25.4
7/11/2017,108,26,22.2,30.9
7/12/2017,108,27.1,24.9,31.1
7/13/2017,108,27.6,23.1,32.1
7/14/2017,108,28.7,26.1,33
7/15/2017,108,25,23.4,27.3
7/16/2017,108,26.2,23.4,28.8
7/17/2017,108,26.8,24,29
7/18/2017,108,26.5,23.9,30.7
7/19/2017,108,28.3,24.5,34.1
7/20/2017,108,29.9,26,34.9
7/21/2017,108,29.8,27.3,32.4
7/22/2017,108,29.3,27.5,32.5
7/23/2017,108,27,26.1,28.1
7/24/2017,108,26.2,25.6,27.3
7/25/2017,108,29.4,24.6,35.4
7/26/2017,108,28.7,24.2,32.8
7/27/2017,108,27.1,24.9,29.7
7/28/2017,108,25.5,24.8,26.9
7/29/2017,108,27.2,25,30.1
7/30/2017,108,27.9,24.7,32.6
7/31/2017,108,25.7,24.8,27.1
8/1/2017,108,28.6,24.1,33
8/2/2017,108,30,26.6,33
8/3/2017,108,30.2,27.2,33.9
8/4/2017,108,30.3,25.9,35.3
8/5/2017,108,31.4,27.6,34.8
8/6/2017,108,29.8,28.2,34
8/7/2017,108,29.2,26.4,34.4
8/8/2017,108,28.2,25.5,31
8/9/2017,108,27.6,24.6,32
8/10/2017,108,24.8,23.9,26.3
8/11/2017,108,27,23.9,32.4
8/12/2017,108,27.8,23.2,32.6
8/13/2017,108,26.3,24.2,28.4
8/14/2017,108,24.6,23.1,27.1
8/15/2017,108,21.9,20.8,24
8/16/2017,108,23.3,20.5,26.8
8/17/2017,108,24.8,21.2,27.7
8/18/2017,108,26.3,23.9,30.6
8/19/2017,108,26.1,23.1,28.7
8/20/2017,108,23.2,22,25.8
8/21/2017,108,25.8,23.7,29.2
8/22/2017,108,27.3,23.4,31.5
8/23/2017,108,27.2,24.6,30.2
8/24/2017,108,26.5,23.9,28.1
8/25/2017,108,25.3,22.2,30.6
8/26/2017,108,24.2,19,29.2
8/27/2017,108,22.7,19,26.7
8/28/2017,108,21.5,18.3,26.5
8/29/2017,108,19.5,17,24
8/30/2017,108,19.8,16.1,23.9
8/31/2017,108,22.2,16.6,27.6
9/1/2017,108,23.3,17.1,29.7
9/2/2017,108,23.8,18.6,29.6
9/3/2017,108,23.7,19,29.2
9/4/2017,108,24.6,19.7,30.1
9/5/2017,108,21.9,20.4,23.7
9/6/2017,108,20.6,18.5,24
9/7/2017,108,22.4,17.8,27.5
9/8/2017,108,24.3,20.4,29.9
9/9/2017,108,23.8,19.2,28.2
9/10/2017,108,23,19.9,26.1
9/11/2017,108,21.2,18.6,24.6
9/12/2017,108,22.1,17.7,27.9
9/13/2017,108,21.4,15.9,27.5
9/14/2017,108,22.4,14.8,29.5
9/15/2017,108,22.6,17.8,27.9
9/16/2017,108,22,16.7,27.6
9/17/2017,108,23.1,19,29.2
9/18/2017,108,21.9,16.4,27.6
